#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
100100,-15394.332272610754,287.5594377703299,11.431895481088818,1.0010809237475387
100200,-15318.993876845847,285.305829766593,11.452850034714583,0.9992493094474462
100300,-15328.191022403344,295.6143332184594,11.484643125482366,0.9964830742542587
100400,-15200.663345412664,289.11776886886605,11.463547680450315,0.9983168219303077
100500,-15262.577862437145,299.88555914488677,11.404680420929735,1.0034698094118752
100600,-15251.296933286103,290.2480478261169,11.230877382755924,1.0189989702821796
100700,-15264.619686182876,288.93121002383805,11.379520890822173,1.0056884290817325
100800,-15221.01857365044,282.8719454551146,11.527573526749688,0.992772022823135
100900,-15340.423672247334,291.4942117496864,11.49022596119873,0.9959989061172279
101000,-15443.502482419848,296.32351567242995,11.54854380925115,0.9909693098471949
101100,-15560.677811938394,293.3885830350098,11.462957876271846,0.9983681883785983
101200,-15449.924085008632,295.3754972316281,11.544506861114954,0.9913158375730251
101300,-15321.1469387787,287.19470053551794,11.593664428868435,0.9871126216054097
101400,-15407.646702059988,305.5469924261667,11.468616523626956,0.9978755907320596
101500,-15163.369469554944,285.56017252719437,11.574315143224144,0.9887628206748303
101600,-15432.940894589672,300.772793363984,11.415224848323176,1.0025428881564953
101700,-15300.534603275748,286.7538489213296,11.547506832383998,0.9910582998140581
101800,-15362.201300472874,296.0023906769116,11.430761568971374,1.0011802292735206
101900,-15355.00339662795,304.4362871514304,11.558551105456733,0.9901113369642788
102000,-15245.20879583958,298.1415436795181,11.587244901563047,0.9876594984930326
102100,-15198.43354535269,300.18749874858645,11.60999921415706,0.985723795264237
102200,-15183.290911236343,293.35686041387675,11.60550994352136,0.9861050952597157
102300,-15272.909895747684,298.48618340593373,11.668337343141303,0.9807954768397817
102400,-15194.188401419797,292.24911161365293,11.794049364481241,0.9703412402918224
102500,-15246.559628155985,291.94911491313457,11.813718301327636,0.9687256963887136
102600,-15414.73826231145,301.9223839987888,11.479194121212625,0.996956090083506
102700,-15314.753402004872,290.7528184065138,11.472586020691644,0.9975303273170639
102800,-15351.50735262458,303.49668016717266,11.356440321837017,1.0077323671914904
102900,-15294.943206357004,291.7230175959166,11.248891976804664,1.0173670893090518
103000,-15406.705714842461,293.4351471599983,11.369252805130364,1.0065967117231749
103100,-15436.435759209142,299.8124495103153,11.380074478013617,1.0056395070615822
103200,-15359.575161798635,293.9597298490394,11.459337807642202,0.9986835784491461
103300,-15314.452063056151,295.26572044674106,11.566556278885416,0.9894260843467323
103400,-15287.874116697118,296.59343210319696,11.527730365506798,0.9927585158165328
103500,-15399.571625721843,300.47469551976764,11.445804823006874,0.9998643752329196
103600,-15281.735583507258,293.9685219675251,11.51544047203683,0.9938180407587541
103700,-15280.328987085306,297.1155440808611,11.511194244659874,0.9941846384620585
103800,-15383.184428316386,311.319301045716,11.429052402879961,1.0013299515111083
103900,-15261.494685242515,297.98398176014325,11.429052402879961,1.0013299515111083
104000,-15124.80547652673,284.95792175088405,11.471195159872108,0.9976512759914807
104100,-15297.217107846307,302.505408162715,11.302834087266564,1.0125117647516793
104200,-15318.778484420083,314.3196186457317,11.352703412235558,1.00806407714831
104300,-15185.554771245734,301.33813942902003,11.457913206378135,0.9988077481703367
104400,-15100.542177714808,290.65457122901313,11.318081070264476,1.0111477747284137
104500,-15115.945000103737,305.15980210658154,11.362816227715024,1.0071669081895431
104600,-15229.543893157685,310.3024832526741,11.35035764759758,1.008272412527547
104700,-15214.11647617039,304.5328143364997,11.400489020915757,1.0038387359873475
104800,-15211.871822047835,304.66103300269515,11.337873412509355,1.0093826304117122
104900,-15242.235013076099,316.2195878477847,11.264526444162147,1.015955046590059
105000,-15096.980816410442,300.0408627885599,11.540199030699645,0.9916858849617153
105100,-15136.764043302832,305.20464245423295,11.555199894457846,0.9903984866486514
105200,-15085.694312254798,308.50180076674064,11.530078660850046,0.9925563237701267
105300,-15040.578130580949,308.40101066675817,11.713879955102147,0.9769822238453963
105400,-14905.239372531461,294.8482623747144,11.713879955102147,0.9769822238453963
105500,-15081.194269284295,296.63801649151867,11.880078437550353,0.9633145562592335
105600,-15086.439023458584,293.10243866694213,11.808684296303268,0.9691386611103113
105700,-15105.584624491838,299.87712810675254,11.726817241431396,0.9759043952659743
105800,-15190.792431890442,300.85717370682346,11.726817241431396,0.9759043952659743
105900,-15214.369720021568,299.5143556049593,11.6984302341377,0.9782724912097809
106000,-15099.570467340118,293.15882496402827,11.754656241840094,0.9735931236898684
106100,-15202.396694088817,306.46010806538953,11.793938220069343,0.9703503846509397
106200,-15157.654431797162,295.1562226739226,11.762959012130064,0.9729059224462394
106300,-15214.441674002243,296.216752126708,11.515493121173384,0.9938134969966081
106400,-15119.320825267607,293.9565838105943,11.485908861727353,0.9963732627661316
106500,-15331.511099922902,295.38926949389696,11.463759528773311,0.9982983732055227
106600,-15356.474809980946,300.99180150418033,11.385702717055661,1.0051423941756654
106700,-15222.553299673556,291.29471855629413,11.399337067692501,1.0039401783133954
106800,-15245.80540093308,290.18758016951585,11.422224739983996,1.0019284989492985
106900,-15285.769156346176,300.524826603865,11.548337054120706,0.9909870516214401
107000,-15277.221160176812,295.3414625344596,11.512601877900048,0.9940630805936626
107100,-15189.6689895483,292.8764609098788,11.61102844968036,0.9856364178238455
107200,-15239.913254827345,299.3820875399026,11.665301423103093,0.9810507309934059
107300,-15208.849058695489,293.3918208915549,11.463080893410453,0.9983574742958004
107400,-15274.34305124818,299.97162456952674,11.461758563339282,0.9984726536640225
