#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
250,-29518.390625,118.85820379037878,20.054748691819597,0.9516879158683195
500,-28123.666015625,180.5209180556998,20.266552225721508,0.9417419289284773
750,-27467.099609375,225.7578480235443,20.61181393460566,0.9259671199407148
1000,-26944.02734375,244.7220893481224,20.561238423336555,0.9282447677917427
1250,-26418.53515625,253.99784387449697,20.57248232588843,0.9277374350572675
1500,-26016.7109375,262.8784679300365,20.381284189352275,0.936440599545325
1750,-25499.3828125,271.8502171365004,20.318570558732702,0.9393309401668416
2000,-25311.6640625,279.8279248181587,20.329977167962586,0.9388039065709108
2250,-25469.12890625,290.564564250352,20.33071208536644,0.9387699705569214
2500,-25137.4609375,292.84527464907916,20.427016670285095,0.9343440745091592
2750,-25254.45703125,300.2702553571638,20.292271865371873,0.9405483088539791
3000,-25043.0859375,303.7175794359008,20.065216387227412,0.9511914358386822
3250,-24877.78125,288.44545073741284,20.113697200439464,0.94889874276141
3500,-24820.7109375,293.4260209717406,20.382299465150545,0.9363939539016938
3750,-24727.640625,295.29204368708383,20.13917351674862,0.9476983735160758
4000,-24792.662109375,295.1943062047459,20.338621767357303,0.9384048832852954
4250,-24831.87890625,303.47832625302726,20.477007727268564,0.9320630357708307
4500,-24718.13671875,294.5928812313664,20.31906930669723,0.939307883530371
4750,-24510.328125,297.8834105207326,20.559293497106896,0.9283325805172468
5000,-24761.2109375,306.80039166043196,20.334886703281146,0.9385772472831673
5250,-24727.203125,300.01588303835723,20.121813070133047,0.9485160168846801
5500,-24856.69140625,302.69175008078423,20.33406535891232,0.9386151587938837
5750,-24761.67578125,299.88244212589836,20.572203619767954,0.9277500037692111
6000,-24699.185546875,296.4039426172119,20.317165279457836,0.9393959109580075
6250,-24900.939453125,299.15811966572346,20.49782331602802,0.9311165235216337
6500,-24782.16796875,298.14893343752055,20.455987011627112,0.9330208302797786
6750,-24876.638671875,302.75721378538157,20.42535572445857,0.9344200533519287
7000,-24823.234375,307.7944955631043,20.408546158857998,0.9351896914762244
7250,-24785.25390625,304.46640610552237,20.479428733199825,0.9319528505616967
7500,-24820.916015625,305.2737030331829,20.265375819145337,0.9417965971176159
7750,-24837.37890625,297.7476220925458,20.327957308330994,0.9388971895350622
8000,-25130.275390625,301.69335158155167,20.334986787423286,0.9385726278211726
8250,-24699.234375,294.14455520417584,20.391149859534906,0.9359875297496352
8500,-24571.375,289.7084930645014,20.359415179189067,0.9374464746556095
8750,-24904.9765625,309.63884471191125,20.38104914327226,0.9364513991214676
9000,-24548.08984375,297.6015625952101,20.426096641182387,0.9343861590912306
9250,-24976.00390625,310.30043050881187,20.49128673542994,0.931413543336972
9500,-24818.20703125,299.4129827385005,20.635075117001456,0.924923310313305
9750,-24577.94140625,298.2987160639612,20.73666807274604,0.9203919317619317
10000,-24557.24609375,298.32635945633183,20.51048324628202,0.9305417993620619
10250,-24777.2109375,311.2956042566012,20.48843261546194,0.9315432929397063
10500,-24687.44921875,300.82023142650525,20.617669101560043,0.925704156554562
10750,-24536.58984375,297.678664054732,20.619318400328037,0.9256301112978137
11000,-24545.31640625,298.1095540070006,20.52903665390273,0.9297008090319878
11250,-24701.20703125,302.23696920114963,20.504036153679156,0.9308343900064774
11500,-24840.81640625,299.0797950316327,20.183636441371988,0.945610670367551
11750,-25011.0390625,310.92952102430536,20.25180558740499,0.9424276716171216
12000,-24641.38671875,289.0692812062875,20.34975689186173,0.9378914002365066
12250,-24910.291015625,306.5108309408535,20.406484654632827,0.9352841662244695
12500,-24815.759765625,303.1555671360015,20.57549987177611,0.9276013756516902
12750,-24855.92578125,307.9192734385946,20.62483193883292,0.9253826669901434
13000,-24799.0078125,295.52924958568866,20.296734337629303,0.9403415184085206
13250,-24894.46875,299.5437330096273,20.384381637242107,0.9362983055081235
13500,-25032.28125,289.521317491712,20.196517619372848,0.9450075674171279
13750,-24982.22265625,303.09308175047266,20.308248255948694,0.9398083845163782
14000,-24979.78125,291.14295706631526,20.33686664285383,0.9384858700682523
14250,-24871.18359375,291.4585831626007,20.602532798821862,0.9263842544093465
14500,-24855.66796875,288.76282590265475,20.791490021484893,0.9179650888925379
14750,-24990.89453125,294.25227005319215,20.63860367451179,0.9247651772755977
15000,-25004.09765625,292.33803141034946,20.93153119077082,0.9118234978526597
15250,-24825.626953125,293.3210207352001,20.602292360860293,0.9263950657277112
15500,-24842.76953125,298.9015590255133,20.44376071170445,0.9335788192264288
15750,-24940.30859375,298.86373802038474,20.504077886799024,0.9308324954261217
16000,-25063.669921875,305.27281482934745,20.437110815779338,0.9338825902458114
16250,-24831.076171875,299.52042024001645,20.74201836004701,0.9201545218253023
